date	MCP9808_temp	MCP9808_temp2	MCP9808_temp3	DHT22_hum	DHT22_temp
06:July:2016:21:17:56	25.6250	33.0625	35.1875	58.00	26.30
06:July:2016:21:18:27	25.9375	33.0625	35.1875	57.90	26.30
06:July:2016:21:18:58	26.2500	33.0625	35.1250	58.30	26.30
06:July:2016:21:19:29	26.1875	33.0000	35.1875	57.00	26.30
06:July:2016:21:20:00	25.4375	33.0000	35.1875	58.10	26.30
06:July:2016:21:20:31	25.0625	33.0000	35.1875	58.60	26.30
06:July:2016:21:21:02	25.3750	33.0000	35.2500	58.70	26.20
06:July:2016:21:21:33	25.3750	33.0000	35.2500	58.80	26.10
06:July:2016:21:22:04	25.0000	33.0000	35.2500	58.90	26.10
06:July:2016:21:22:35	25.1875	33.0000	35.2500	58.70	26.10
06:July:2016:21:23:06	25.1250	32.9375	35.2500	58.70	26.00
06:July:2016:21:23:37	25.5000	32.8750	35.2500	59.10	26.00
06:July:2016:21:24:08	25.1875	32.8125	35.2500	58.50	26.00
06:July:2016:21:24:39	24.8750	32.8125	35.2500	57.90	26.00
06:July:2016:21:25:10	25.2500	32.1250	35.2500	59.00	26.00
06:July:2016:21:25:41	25.3750	32.2500	35.3125	58.80	26.00
06:July:2016:21:26:12	25.5000	32.5000	35.2500	57.80	26.00
06:July:2016:21:26:43	25.6250	32.6250	35.2500	59.50	26.00
06:July:2016:21:27:14	25.0000	33.0000	35.2500	59.10	25.90
06:July:2016:21:27:46	25.0000	32.7500	35.2500	59.20	25.90
06:July:2016:21:28:17	24.8125	33.0000	35.1875	60.10	25.90
06:July:2016:21:28:48	24.8125	32.9375	35.2500	59.60	25.90
06:July:2016:21:29:19	24.5000	32.8125	35.2500	60.40	25.90
06:July:2016:21:29:50	24.5625	32.6250	35.1250	60.20	25.90
06:July:2016:21:30:21	24.5000	32.7500	35.1875	60.10	25.80
06:July:2016:21:30:52	24.5625	32.7500	35.3125	59.80	25.80
06:July:2016:21:31:23	24.4375	32.7500	35.2500	59.80	25.80
06:July:2016:21:31:54	23.9375	32.7500	35.2500	59.30	25.70
06:July:2016:21:32:25	24.1875	32.6875	35.3125	59.80	25.70
06:July:2016:21:32:56	24.8750	32.6875	35.3125	60.00	25.70
06:July:2016:21:33:27	24.9375	32.7500	35.3125	60.00	25.70
06:July:2016:21:33:58	24.5625	32.7500	35.2500	59.50	25.60
06:July:2016:21:34:29	24.6875	32.7500	35.3125	59.80	25.60
06:July:2016:21:35:00	24.5000	32.6875	35.2500	60.00	25.60
06:July:2016:21:35:31	24.6875	32.6250	35.2500	59.70	25.50
06:July:2016:21:36:02	24.3750	32.5625	35.2500	60.10	25.50
06:July:2016:21:36:33	24.5625	32.5625	35.2500	60.30	25.50
06:July:2016:21:37:04	25.0625	32.5000	35.2500	60.10	25.50
06:July:2016:21:37:35	24.8750	32.5625	35.2500	60.10	25.50
06:July:2016:21:38:07	24.4375	32.5625	35.3125	60.30	25.50
06:July:2016:21:38:38	24.3750	32.5625	35.3125	60.60	25.50
06:July:2016:21:39:09	25.1250	32.5625	35.2500	60.10	25.40
06:July:2016:21:39:40	24.8750	32.5000	35.2500	60.30	25.40
06:July:2016:21:40:11	24.9375	32.4375	35.2500	60.60	25.40
06:July:2016:21:40:42	25.3750	32.4375	35.2500	61.70	25.40
06:July:2016:21:41:13	25.8125	32.3750	35.2500	60.70	25.40
06:July:2016:21:41:44	26.0625	32.4375	35.3125	60.60	25.40
06:July:2016:21:42:15	25.8125	32.4375	35.3125	60.80	25.40
06:July:2016:21:42:46	26.0000	32.4375	35.3750	60.30	25.40
06:July:2016:21:43:17	25.7500	32.3750	35.3750	59.50	25.40
06:July:2016:21:56:28	25.3750	32.2500	35.3125	61.90	25.40
06:July:2016:21:56:59	24.6250	32.2500	35.1875	64.30	25.20
06:July:2016:21:57:30	24.3750	32.1875	35.2500	64.70	25.10
06:July:2016:21:58:01	24.6875	32.2500	35.1875	65.30	25.10
06:July:2016:21:58:32	25.0625	32.2500	35.2500	64.80	25.10
06:July:2016:21:59:03	24.9375	32.1250	35.3125	63.70	25.10
06:July:2016:21:59:34	24.6875	32.1250	35.2500	64.30	25.10
06:July:2016:22:00:05	24.4375	32.0625	35.3125	64.90	25.00
06:July:2016:22:00:36	24.8750	31.9375	35.3125	64.20	25.00
06:July:2016:22:01:07	24.5625	32.0000	35.3125	63.80	25.00
06:July:2016:22:01:39	24.0625	32.0000	35.3125	64.20	25.00
06:July:2016:22:02:10	24.1875	32.0000	35.3125	64.20	24.90
06:July:2016:22:02:41	24.1250	31.9375	35.3125	64.20	24.90
06:July:2016:22:03:12	24.0000	31.8750	35.3750	63.60	24.90
06:July:2016:22:03:43	23.5625	31.9375	35.3125	63.80	24.90
06:July:2016:22:04:14	23.7500	31.9375	35.3750	63.40	24.80
06:July:2016:22:04:45	23.5000	31.8125	35.3750	64.30	24.80
06:July:2016:22:05:16	23.6875	31.9375	35.3750	64.30	24.70
06:July:2016:22:05:47	23.6250	31.8750	35.4375	63.90	24.70
06:July:2016:22:06:18	23.6250	31.9375	35.4375	63.80	24.70
06:July:2016:22:06:49	24.1250	31.9375	35.4375	63.80	24.70
06:July:2016:22:07:20	23.8750	31.8750	35.3750	64.00	24.70
06:July:2016:22:07:51	23.6250	31.8750	35.4375	63.70	24.70
06:July:2016:22:08:22	23.8125	31.8125	35.5000	64.00	24.60
06:July:2016:22:08:53	24.0000	31.8125	35.4375	64.20	24.60
06:July:2016:22:09:24	24.4375	31.8125	35.4375	63.70	24.60
06:July:2016:22:09:55	24.8750	31.8750	35.4375	64.70	24.60
06:July:2016:22:10:26	25.3125	32.0000	35.3750	64.70	24.60
06:July:2016:22:10:57	25.6875	31.9375	35.3125	64.80	24.50
06:July:2016:22:11:28	25.8750	31.9375	35.3750	64.30	24.60
06:July:2016:22:11:59	25.3125	31.9375	35.3750	64.60	24.60
06:July:2016:22:12:30	25.6250	31.9375	35.4375	65.00	24.60
06:July:2016:22:13:01	25.4375	31.7500	35.4375	64.80	24.60
06:July:2016:22:13:32	24.7500	31.6875	35.3750	65.30	24.60
06:July:2016:22:14:03	24.9375	31.8125	35.4375	65.40	24.60
06:July:2016:22:14:35	25.1875	31.7500	35.4375	65.00	24.60
06:July:2016:22:15:06	25.0625	31.6250	35.3125	64.30	24.60
06:July:2016:22:15:37	25.4375	31.6875	35.3125	65.10	24.60
06:July:2016:22:16:08	25.5625	31.6875	35.4375	64.50	24.60
06:July:2016:22:16:39	25.5000	31.7500	35.4375	64.10	24.60
06:July:2016:22:17:10	25.3750	31.7500	35.5000	64.50	24.60
06:July:2016:22:17:41	25.2500	31.6250	35.4375	64.50	24.70
06:July:2016:22:18:12	25.6875	31.6875	35.4375	64.20	24.70
06:July:2016:22:18:43	25.5625	31.3750	35.4375	64.70	24.70
06:July:2016:22:19:14	25.4375	30.8125	35.4375	64.10	24.70
06:July:2016:22:19:45	25.6250	31.0625	35.4375	64.20	24.70
06:July:2016:22:20:16	25.6875	30.9375	35.4375	64.40	24.70
06:July:2016:22:20:47	26.1250	31.5625	35.4375	64.50	24.70
06:July:2016:22:21:18	26.1875	31.4375	35.3750	64.10	24.70
06:July:2016:22:21:49	25.9375	32.1250	35.3750	64.30	24.80
06:July:2016:22:22:20	25.5000	32.1250	35.3125	64.50	24.70
06:July:2016:22:22:51	25.1250	32.1250	35.3125	64.70	24.70
06:July:2016:22:23:22	25.3750	32.0000	35.3125	64.90	24.70
06:July:2016:22:23:53	25.8750	31.7500	35.3125	65.40	24.70
06:July:2016:22:24:24	25.5625	31.9375	35.3125	65.30	24.70
06:July:2016:22:24:55	25.5000	32.0000	35.3750	65.40	24.70
06:July:2016:22:25:26	25.8125	32.0000	35.3125	65.30	24.70
06:July:2016:22:25:57	25.8750	31.9375	35.3750	65.30	24.70
06:July:2016:22:26:28	25.8125	31.7500	35.3125	65.70	24.70
06:July:2016:22:26:59	25.9375	31.7500	35.3125	65.00	24.70
06:July:2016:22:27:31	26.5625	31.7500	35.3125	65.20	24.70
06:July:2016:22:28:02	26.7500	31.6875	35.2500	65.20	24.70
06:July:2016:22:28:33	26.7500	31.7500	35.3125	64.80	24.70
06:July:2016:22:29:04	26.0625	31.7500	35.3125	66.20	24.70
06:July:2016:22:29:35	25.9375	31.6875	35.3125	65.30	24.60
06:July:2016:22:30:06	25.3750	31.5625	35.3750	65.40	24.70
06:July:2016:22:30:37	25.2500	31.5000	35.3125	66.60	24.70
06:July:2016:22:31:08	25.0625	31.5625	35.3125	66.20	24.60
06:July:2016:22:31:39	24.7500	31.6250	35.3125	65.90	24.60
06:July:2016:22:32:10	24.6250	31.6250	35.3125	65.60	24.60
06:July:2016:22:32:41	24.6250	31.6250	35.3750	65.40	24.60
06:July:2016:22:33:12	24.9375	31.5000	35.3750	65.40	24.60
06:July:2016:22:33:43	24.8125	31.5625	35.3750	65.30	24.70
06:July:2016:22:34:14	24.8750	31.5000	35.3125	65.20	24.70
06:July:2016:22:34:45	24.8125	31.5625	35.3125	65.30	24.70
06:July:2016:22:35:16	25.3125	31.5000	35.4375	65.20	24.60
06:July:2016:22:35:47	25.5625	31.5625	35.4375	65.30	24.70
06:July:2016:22:36:18	25.5000	31.5625	35.4375	65.10	24.70
06:July:2016:22:36:49	25.3750	31.5625	35.4375	64.60	24.60
06:July:2016:22:37:20	25.2500	31.5000	35.4375	64.50	24.60
06:July:2016:22:37:52	25.4375	31.4375	35.4375	65.00	24.60
06:July:2016:22:38:23	25.6250	31.5000	35.4375	65.00	24.70
06:July:2016:22:38:54	25.3125	31.5625	35.4375	64.80	24.70
06:July:2016:22:39:25	25.3125	31.6250	35.4375	65.00	24.60
06:July:2016:22:39:56	25.6250	31.6250	35.4375	64.80	24.60
06:July:2016:22:40:27	25.2500	31.5625	35.4375	65.20	24.60
06:July:2016:22:40:58	25.2500	31.5625	35.3750	65.30	24.60
06:July:2016:22:41:29	25.1875	31.5625	35.4375	64.80	24.50
06:July:2016:22:42:00	25.0625	31.5000	35.4375	64.90	24.50
06:July:2016:22:42:31	25.1875	31.5000	35.3750	64.50	24.60
06:July:2016:22:43:02	25.0000	31.5000	35.3125	64.60	24.50
06:July:2016:22:43:33	24.7500	31.4375	35.3125	64.70	24.60
