date	MCP9808_temp	MCP9808_temp2	MCP9808_temp3	DHT22_hum	DHT22_temp
03:July:2016:18:28:33	26.9375	26.8750	27.3750	36.70	27.90
03:July:2016:18:29:04	27.0000	26.9375	27.3750	37.10	27.90
03:July:2016:18:29:35	27.0625	26.9375	27.3125	37.20	27.90
03:July:2016:18:30:06	27.0000	26.8750	27.3125	36.90	27.90
03:July:2016:18:30:38	27.0000	26.8750	27.2500	37.10	27.80
03:July:2016:18:31:09	26.8750	26.6250	27.2500	36.90	27.80
03:July:2016:18:31:40	26.8125	26.5625	27.2500	35.30	27.80
03:July:2016:18:32:11	26.7500	26.3750	27.1250	35.40	27.80
03:July:2016:18:32:42	26.7500	26.4375	27.1250	34.10	27.70
03:July:2016:18:33:13	26.7500	26.4375	27.1250	35.10	27.70
03:July:2016:18:33:44	26.6875	26.4375	27.0625	36.00	27.70
03:July:2016:18:34:15	26.6875	26.3750	27.0625	35.50	27.60
03:July:2016:18:34:46	26.6250	26.3750	27.0000	35.40	27.60
03:July:2016:18:35:17	26.6250	26.3750	27.0000	35.60	27.60
03:July:2016:18:35:48	26.6250	26.3750	27.0000	35.40	27.50
03:July:2016:18:36:19	26.5625	26.4375	27.0000	35.50	27.50
03:July:2016:18:36:50	26.5625	26.3750	26.9375	36.00	27.40
03:July:2016:18:37:21	26.5000	26.2500	26.8750	36.10	27.40
03:July:2016:18:37:52	26.4375	26.1875	26.8750	35.40	27.40
03:July:2016:18:38:23	26.3750	26.0000	26.8125	35.80	27.40
03:July:2016:18:38:54	26.2500	25.9375	26.8125	34.40	27.30
03:July:2016:18:39:25	26.2500	26.0000	26.7500	35.60	27.30
03:July:2016:18:39:56	26.3125	26.0625	26.7500	35.60	27.20
03:July:2016:18:40:27	26.3750	26.1875	26.7500	36.10	27.20
03:July:2016:18:40:58	26.3125	26.1250	26.6875	37.30	27.20
03:July:2016:18:41:29	26.3750	26.0625	26.7500	36.30	27.20
03:July:2016:18:42:00	26.3125	26.1250	26.6875	36.50	27.20
03:July:2016:18:42:31	26.3125	26.1875	26.6250	37.30	27.10
03:July:2016:18:43:02	26.2500	26.1250	26.6250	37.30	27.10
03:July:2016:18:43:34	26.2500	26.1875	26.6250	37.30	27.10
03:July:2016:18:44:05	26.2500	26.1875	26.6250	37.30	27.10
03:July:2016:18:44:36	26.3125	26.1875	26.6250	37.30	27.10
03:July:2016:18:45:07	26.3125	26.1875	26.6250	37.30	27.10
03:July:2016:18:45:38	26.3125	26.1875	26.5625	37.30	27.10
03:July:2016:18:46:09	26.2500	26.0625	26.5625	37.30	27.10
03:July:2016:18:46:40	26.1875	26.0000	26.5000	37.30	27.10
03:July:2016:18:47:11	26.1250	26.0625	26.5625	37.20	27.00
03:July:2016:18:47:42	26.2500	26.0625	26.5000	37.20	27.00
03:July:2016:18:48:13	26.2500	26.1250	26.5000	37.20	27.00
03:July:2016:18:48:44	26.2500	26.1875	26.5000	37.20	27.00
03:July:2016:18:49:15	26.2500	26.1250	26.5000	37.20	27.00
03:July:2016:18:49:46	26.2500	26.1875	26.5625	37.20	27.00
03:July:2016:18:50:17	26.3125	26.1875	26.5000	37.20	27.00
03:July:2016:18:50:48	26.3125	26.2500	26.5000	37.20	27.00
03:July:2016:18:51:19	26.2500	26.1250	26.5000	37.20	27.00
03:July:2016:18:51:50	26.1250	26.0625	26.5000	37.20	27.00
03:July:2016:18:52:21	26.1250	25.9375	26.4375	37.20	27.00
03:July:2016:18:52:52	26.1250	25.9375	26.4375	37.20	27.00
03:July:2016:18:53:23	26.1250	25.9375	26.4375	37.10	26.90
03:July:2016:18:53:55	26.0625	26.0000	26.4375	37.10	26.90
03:July:2016:18:54:26	26.0625	25.9375	26.3750	37.20	26.90
03:July:2016:18:54:57	26.0000	25.8750	26.3750	37.20	26.90
03:July:2016:18:55:28	26.0625	25.8750	26.4375	37.20	26.90
03:July:2016:18:55:59	26.0625	25.9375	26.3750	37.20	26.90
03:July:2016:18:56:30	26.0625	25.9375	26.3750	37.20	26.90
03:July:2016:18:57:01	26.0000	26.0000	26.3750	37.20	26.90
03:July:2016:18:57:32	26.0000	26.0000	26.3125	37.80	26.90
